,index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
,79,18,148558,116432,148559,116432,148558,116433,148559,116433,148558,116434,148559,116434,148558,116435,148559,116435,148558,116436,148559,116436,148558,116437,148559,116437,
,80,18,148560,116432,148561,116432,148560,116433,148561,116433,148560,116434,148561,116434,148560,116435,148561,116435,148560,116436,148561,116436,148560,116437,148561,116437,
,81,18,148562,116432,148563,116432,148562,116433,148563,116433,148562,116434,148563,116434,148562,116435,148563,116435,148562,116436,148563,116436,148562,116437,148563,116437,
,82,18,148564,116432,148565,116432,148564,116433,148565,116433,148564,116434,148565,116434,148564,116435,148565,116435,148564,116436,148565,116436,148564,116437,148565,116437,
,83,18,148566,116432,148567,116432,148566,116433,148567,116433,148566,116434,148567,116434,148566,116435,148567,116435,148566,116436,148567,116436,148566,116437,148567,116437,
,84,18,148568,116432,148569,116432,148568,116433,148569,116433,148568,116434,148569,116434,148568,116435,148569,116435,148568,116436,148569,116436,148568,116437,148569,116437,
,85,18,148570,116432,148571,116432,148570,116433,148571,116433,148570,116434,148571,116434,148570,116435,148571,116435,148570,116436,148571,116436,148570,116437,148571,116437,
,86,18,148572,116432,148573,116432,148572,116433,148573,116433,148572,116434,148573,116434,148572,116435,148573,116435,148572,116436,148573,116436,148572,116437,148573,116437,
,87,18,148574,116432,148575,116432,148574,116433,148575,116433,148574,116434,148575,116434,148574,116435,148575,116435,148574,116436,148575,116436,148574,116437,148575,116437,
,88,18,148576,116432,148577,116432,148576,116433,148577,116433,148576,116434,148577,116434,148576,116435,148577,116435,148576,116436,148577,116436,148576,116437,148577,116437,
,89,18,148578,116432,148579,116432,148578,116433,148579,116433,148578,116434,148579,116434,148578,116435,148579,116435,148578,116436,148579,116436,148578,116437,148579,116437,
,90,18,148580,116432,148581,116432,148580,116433,148581,116433,148580,116434,148581,116434,148580,116435,148581,116435,148580,116436,148581,116436,148580,116437,148581,116437,
,91,18,148582,116432,148583,116432,148582,116433,148583,116433,148582,116434,148583,116434,148582,116435,148583,116435,148582,116436,148583,116436,148582,116437,148583,116437,
,92,18,148584,116432,148585,116432,148584,116433,148585,116433,148584,116434,148585,116434,148584,116435,148585,116435,148584,116436,148585,116436,148584,116437,148585,116437,
,93,18,148586,116432,148587,116432,148586,116433,148587,116433,148586,116434,148587,116434,148586,116435,148587,116435,148586,116436,148587,116436,148586,116437,148587,116437,
,94,18,148588,116432,148589,116432,148588,116433,148589,116433,148588,116434,148589,116434,148588,116435,148589,116435,148588,116436,148589,116436,148588,116437,148589,116437,
